kaliwanu kali(V6)+wa_#_PAST+anu_a_3SM   
kaliwalYu kali(V6)+wa_#_PAST+alYu_a_3SF
kaliwiwu kali(V6)+wa_#_PAST+iwu_a_3SN 
kaliwaru kali(V6)+wa_#_PAST+aru_a_3P
kaliwaru kali(V6)+wa_#_PAST+aru_a_3SH
kaliwavu kali(V6)+wa_#_PAST+avu_a_3PN
kaliyuwwAneV kali(V6)+yuwwa_#_FUT+AneV_a_3SM
kaliyuwwAlYeV kali(V6)+yuwwa_#_FUT+AlYeV_a_3SF
kaliyuwwaxeV kali(V6)+yuwwa_#_FUT+axeV_a_3SN
kaliyuwwAreV kali(V6)+yuwwa_#_FUT+AreV_a_3P
kaliyuwwAreV kali(V6)+yuwwa_#_FUT+AreV_a_3SH
kaliyuwwaveV kali(V6)+yuwwa_#_FUT+aveV_a_3PN
kaliyuvanu kali(V6)+yuva_#_FUT+anu_a_3SM
kaliyuvalYu kali(V6)+yuva_#_FUT+alYu_a_3FM
kaliyuvuxu kali(V6)+yuva_#_FUT+uxu_a_3SN
kaliyuvaru kali(V6)+yuva_#_FUT+aru_a_3P
kaliyuvaru kali(V6)+yuva_#_FUT+aru_a_3SH
kaliyuvuvu kali(V6)+yuva_#_FUT+vuvu_va_3PN
kaliweVnu kali(V6)+wa_#_PAST+eVnu_a_1S
kaliweVvu kali(V6)+wa_#_PAST+eVvu_a_1P
kaliyuwweneV kali(V6)+yuwwa_#_FUT+eneV_a_1S
kaliyuwweveV kali(V6)+yuwwa_#_FUT+eveV_a_1P

kaliyuveVnu kali(V6)+yuva_#_FUT+eVnu_a_1P
kaliyuveVvu kali(V6)+yuva_#_FUT+eVvu_a_1P

kaliyoNa kali(V6)+yoNa_#_1P
kaliyuvanA kali(V6)+yuvanA_#_1P

kaliwi kali(V6)+wa_#_PAST+i_a_2S
kaliwiri kali(V6)+wa_#_PAST+iri_a_2P
kaliwiri kali(V6)+wa_#_PAST+iri_a_2SH
kaliyuwwi kali(V6)+yuwwa_#_FUT+wwi_wwa_2S
kaliyuwwIri kali(V6)+yuwwa_#_FUT+wwIri_wwa_2P
kaliyuwwIri kali(V6)+yuwwa_#_FUT+wwIri_wwa_2SH
kaliyuviri kali(V6)+yuva_#_FUT+viri_va_2P
kaliyuviri kali(V6)+yuva_#_FUT+viri_va_2SH
kaliyuva kali(V6)+yuva_#_FUT_#_RP
kaliwa kali(V6)+wa_#_PAST_#_RP
kaliyalu kali(V6)+yalu_#_INFN_#_INCH
kaliyalikkeV kali(V6)+yalikkeV_#_INFN_#_INCH
kaliyokeV kali(V6)+yokeV_#_INFN_#_INCH
kaliyabeku kali(V6)+ya_#_AVY+beku_#_FUT_#_IMPR
kaliyakUdaxu kali(V6)+ya_#_AVY+kUdaxu_#_FUT_#_NEGIMPR
kaliyabAraxu kali(V6)+ya_#_AVY+bAraxu_#_FUT_#_NEGIMPR
kaliyanu kali(V6)+yanu_#_FUTNEG_#_3SM
kaliyalYu kali(V6)+yalYu_#_FUTNEG_#_3SF
kaliyaxu kali(V6)+yaxu_#_FUTNEG_#_3SN
kaliyaru kali(V6)+yaru_#_FUTNEG_#_3P
kaliyaru kali(V6)+yaru_#_FUTNEG_#_3SH
kaliyavu kali(V6)+yavu_#_FUTNEG_#_3PN
kaliyalAreV kali(V6)+yalu_#_FUTNEG+AreV_u_1S
kaliyalAreVvu kali(V6)+yalu_#_FUTNEG+AreVvu_u_1P
kaliyalAreV kali(V6)+yalu_#_FUTNEG+AreV_u_2S
kaliyalAriri kali(V6)+yalu_#_FUTNEG+Ariri_u_2P
kaliyalAriri kali(V6)+yalu_#_FUTNEG+Ariri_u_2SH
kaliyalAranu kali(V6)+yalu_#_FUTNEG+Aranu_u_3SM
kaliyalAra kali(V6)+yalu_#_FUTNEG+Ara_u_3SF
kaliyalAraxu kali(V6)+yalu_#_FUTNEG+Araxu_u_3SN
kaliyalAraru kali(V6)+yalu_#_FUTNEG+Araru_u_3P
kaliyalAraru kali(V6)+yalu_#_FUTNEG+Araru_u_3SH
kaliyalAravu kali(V6)+yalu_#_FUTNEG+Aravu_u_3PN
kaliyalAraxa kali(V6)+yalu_#_NEG+Araxa_u_3
kaliyaxa kali(V6)+yaxa_#_NFV_#_NEG
kaliyaxeV kali(V6)+yaxeV_#_NFV_#_NEG
kaliwarU kali(V6)+warU_#_NFV_#_CONS
kaliyuwwA kali(V6)+yuwwa_#_NFV+A_a_PRESCONT
kaliwu kali(V6)+wu_#_NFV_#_PERF
kaliyali kali(V6)+yali_#_FUTOPT_#_3SM
kaliyali kali(V6)+yali_#_FUTOPT_#_3SF
kaliyali kali(V6)+yali_#_FUTOPT_#_3P
kaliyali kali(V6)+yali_#_FUTOPT_#_3SH
kaliyali kali(V6)+yali_#_FUTOPT_#_3SN
kaliyali kali(V6)+yali_#_FUTOPT_#_3PN
kaliyaballa kali(V6)+kaliya_kali_AVY+balla_#_FUTINF_#_CAP
kaliyaballanu kali(V6)+kaliya_kali_AVY+balla_#_FUTCAP+anu_a_3SM
kaliyaballalYu kali(V6)+kaliya_kali_AVY+balla_#_FUTCAP+alYu_a_3SF
kaliyaballaxu kali(V6)+kaliya_kali_AVY+balla_#_FUTCAP+axu_a_3SN
kaliyaballaru kali(V6)+kaliya_kali_AVY+balla_#_FUTCAP+aru_a_3P
kaliyaballaru kali(V6)+kaliya_kali_AVY+balla_#_FUTCAP+aru_a_3SH
kaliyaballavu kali(V6)+kaliya_kali_AVY+balla_#_FUTCAP+avu_a_3PN
kaliwAnu kali(V6)+wa_#_FUTDUB+Anu_a_3SM  
kaliwAlYu kali(V6)+wa_#_FUTDUB+AlYu_a_3SF
kaliwAru kali(V6)+wa_#_FUTDUB+Aru_a_3P
kaliwAru kali(V6)+wa_#_FUTDUB+Aru_a_3SH
kaliwIwu kali(V6)+wa_#_FUTDUB+Iwu_a_3SN
kaliwAvu kali(V6)+wa_#_FUTDUB+Avu_a_3PN
kaliwenu kali(V6)+wa_#_FUTDUB+enu_a_1S
kaliwevu kali(V6)+wa_#_FUTDUB+evu_a_1P
kaliwIyeV kali(V6)+wa_#_FUTDUB+IyeV_a_2S
kaliwIri kali(V6)+wa_#_FUTDUB+Iri_a_2P
kaliwIri kali(V6)+wa_#_FUTDUB+Iri_a_2SH
kaliwareV kali(V6)+wa_#_NFV+areV_a_COND
kaliwalli kali(V6)+wa_#_NFV+alli_a_COND

kaliyuvuxilla kali(V6)+yuvuxu_#_AVY+illa_u_NEG
kaliyabahuxu kali(V6)+ya_#_AVY+bahuxu_#_FUTPOTEN
kaliyalebeku kali(V6)+yalu_#_COMP+e_u_AVY+beku_#_FUT
kaliyuvavanu kali(V6)+yuva_#_PRP+avanu_a_3SM
kaliyuvavalYu kali(V6)+yuva_#_PRP+avalYu_a_3FM
kaliyuvavaru kali(V6)+yuva_#_PRP+avaru_a_3P
kaliyaxavanu kali(V6)+yaxa_#_PRP+avanu_a_3SM
kaliyaxavalYu kali(V6)+yaxa_#_PRP+avalYu_a_3FM
kaliyaxavaru kali(V6)+yaxa_#_PRP+avaru_a_3P
kaliwavanu kali(V6)+wa_#_PRP+avanu_a_3SM 
kaliwavalYu kali(V6)+wa_#_PRP+avalYu_a_3FM 
kaliwavaru kali(V6)+wa_#_PRP+avaru_a_3P
kaliwavaru kali(V6)+wa_#_PRP+avaru_a_3SH 
kaliyalAraxavanu kali(V6)+yalu_#_AVY+Araxa_u_PRP+avanu_a_3SM 
kaliyalAraxavalYu kali(V6)+yalu_#_AVY+Araxa_u_PRP+avalYu_a_3SF
kaliyalAraxavaru kali(V6)+yalu_#_AVY+Araxa_u_PRP+avaru_a_3P 
kaliyuwwiruvavanu kali(V6)+yuwwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
kaliyuwwiruvavalYu kali(V6)+yuwwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
kaliyuwwiruvavaru kali(V6)+yuwwa_#_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
kaliyuwwiruvuxu kali(V6)+yuwwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
kaliyuwwiruvuvu kali(V6)+yuwwa_#_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
kaliyuwwiruva kali(V6)+yuwwa_#_AUX+wwiru_wwa_RP+va_#_FUTPROG
kaliyuwwixxavanu kali(V6)+yuwwa_#_AUX+wwi_wwa_RP+xxa_#_PRP+avanu_a_3SM 
kaliyuwwixxavalYu kali(V6)+yuwwa_#_AUX+wwi_wwa_RP+xxa_#_PRP+avalYu_a_3FM 
kaliyuwwixxavaru kali(V6)+yuwwa_#_AUX+wwi_wwa_RP+xxa_#_PRP+avaru_a_3P 
kaliyuwwixxu kali(V6)+yuwwa_#_AUX+wwixxu_wwa_PRESPROG
kaliyuwwixxavu kali(V6)+yuwwa_#_AUX+wwi_wwa_RP+xxa_#_PRP+avu_a_3PN
kaliyaliruvavanu kali(V6)+yalu_#_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
kaliyaliruvavalYu kali(V6)+yalu_#_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
