koVyxanu koVyyu(V13)+xa_yu_PAST+anu_a_3SM   
koVyxalYu koVyyu(V13)+xa_yu_PAST+alYu_a_3SF
koVyxiwu koVyyu(V13)+xa_yu_PAST+xiwu_xa_3SN 
koVyxaru koVyyu(V13)+xa_yu_PAST+aru_a_3P
koVyxaru koVyyu(V13)+xa_yu_PAST+aru_a_3SH
koVyxavu koVyyu(V13)+xa_yu_PAST+avu_a_3PN
koVyyuwwAneV koVyyu(V13)+uwwa_u_FUT+AneV_a_3SM
koVyyuwwAlYeV koVyyu(V13)+uwwa_u_FUT+AlYeV_a_3SF
koVyyuwwaxeV koVyyu(V13)+uwwa_u_FUT+axeV_a_3SN
koVyyuwwAreV koVyyu(V13)+uwwa_u_FUT+AreV_a_3P
koVyyuwwAreV koVyyu(V13)+uwwa_u_FUT+AreV_a_3SH
koVyyuwwaveV koVyyu(V13)+uwwa_u_FUT+aveV_a_3PN
koVyyuvanu koVyyu(V13)+va_#_FUT+anu_a_3SM
koVyyuvalYu koVyyu(V13)+va_#_FUT+alYu_a_3FM
koVyyuvuxu koVyyu(V13)+va_#_FUT+uxu_a_3SN
koVyyuvaru koVyyu(V13)+va_#_FUT+aru_a_3P
koVyyuvaru koVyyu(V13)+va_#_FUT+aru_a_3SH
koVyyuvuvu koVyyu(V13)+va_#_FUT+vuvu_va_3PN
koVyxeVnu koVyyu(V13)+xa_yu_PAST+eVnu_a_1S
koVyxeVvu koVyyu(V13)+xa_yu_PAST+eVvu_a_1P
koVyyuwweneV koVyyu(V13)+uwwa_u_FUT+eneV_a_1S
koVyyuwweveV koVyyu(V13)+uwwa_u_FUT+eveV_a_1P
koVyyuveVnu koVyyu(V13)+va_#_FUT+eVnu_a_1S
koVyyuveVvu koVyyu(V13)+va_#_FUT+eVvu_a_1P
koVyyoNa koVyyu(V13)+oNa_u_1P
koVyyuvanA koVyyu(V13)+vanA_#_1P
koVyxi koVyyu(V13)+xa_yu_PAST+i_a_2S
koVyxiri koVyyu(V13)+xa_yu_PAST+iri_a_2S
koVyxiri koVyyu(V13)+xa_yu_PAST+iri_a_2SH
koVyyuwwi  koVyyu(V13)+uwwa_u_FUT+wwi_wwa_2S
koVyyuwwIri koVyyu(V13)+uwwa_u_FUT+wwIri_wwa_2P
koVyyuwwIri koVyyu(V13)+uwwa_u_FUT+wwIri_wwa_2SH
koVyyuviri koVyyu(V13)+va_#_FUT+viri_va_2P
koVyyuviri koVyyu(V13)+va_#_FUT+viri_va_2SH
koVyyuva koVyyu(V13)+va_#_FUT_#_RP
koVyxa koVyyu(V13)+xa_yu_PAST_#_RP
koVyyalu koVyyu(V13)+alu_u_INFN_#_INCH
koVyyalikkeV koVyyu(V13)+alikkeV_u_INFN_#_INCH
koVyyokeV koVyyu(V13)+okeV_u_INFN_#_INCH
koVyyabeku koVyyu(V13)+a_u_AVY+beku_#_FUT_#_IMPR
koVyyakUdaxu koVyyu(V13)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
koVyyabAraxu koVyyu(V13)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
koVyyanu koVyyu(V13)+anu_u_FUTNEG_#_3SM
koVyyalYu koVyyu(V13)+alYu_u_FUTNEG_#_3SF
koVyyaxu koVyyu(V13)+axu_u_FUTNEG_#_3SN
koVyyaru koVyyu(V13)+aru_u_FUTNEG_#_3P
koVyyaru koVyyu(V13)+aru_u_FUTNEG_#_3SH
koVyyavu koVyyu(V13)+avu_u_FUTNEG_#_3PN
koVyyalAreV koVyyu(V13)+alu_u_FUTNEG+AreV_u_1S
koVyyalAreVvu koVyyu(V13)+alu_u_FUTNEG+AreVvu_u_1P
koVyyalAreVnu koVyyu(V13)+alu_u_FUTNEG+AreVnu_u_2S
koVyyalAriri koVyyu(V13)+alu_u_FUTNEG+Ariri_u_2P
koVyyalAriri koVyyu(V13)+alu_u_FUTNEG+Ariri_u_2SH
koVyyalAranu koVyyu(V13)+alu_u_FUTNEG+Aranu_u_3SM
koVyyalAralYu koVyyu(V13)+alu_u_FUTNEG+AralYu_u_3SF
koVyyalAraxu koVyyu(V13)+alu_u_FUTNEG+Araxu_u_3SN
koVyyalAraru koVyyu(V13)+alu_u_FUTNEG+Araru_u_3P
koVyyalAraru koVyyu(V13)+alu_u_FUTNEG+Araru_u_3SH
koVyyalAravu koVyyu(V13)+alu_u_FUTNEG+Aravu_u_3PN
koVyyalAraxa koVyyu(V13)+alu_u_NEG+Araxa_u_3N
koVyyaxa koVyyu(V13)+axa_u_NFV_#_NEG
koVyyaxeV koVyyu(V13)+axeV_u_NFV_#_NEG
koVyxarU koVyyu(V13)+xarU_yu_NFV_#_CONS
koVyyuwwA koVyyu(V13)+uwwa_u_NFV+A_a_PRESCONT
koVyyi koVyyu(V13)+yi_yu_NFV_#_PASTPERF
koVyyali koVyyu(V13)+ali_u_FUTOPT_#_3SM
koVyyali koVyyu(V13)+ali_u_FUTOPT_#_3SF
koVyyali koVyyu(V13)+ali_u_FUTOPT_#_3P
