koVMxanu koVllu(V14)+Mxa_llu_PAST+anu_a_3SM   
koVMxalYu koVllu(V14)+Mxa_llu_PAST+alYu_a_3SF
koVMxiwu koVllu(V14)+Mxa_llu_PAST+iwu_a_3SN 
koVMxaru koVllu(V14)+Mxa_llu_PAST+aru_a_3P
koVMxaru koVllu(V14)+Mxa_llu_PAST+aru_a_3SH
koVMxavu koVllu(V14)+Mxa_llu_PAST+avu_a_3PN
koVlluwwAneV koVllu(V14)+uwwa_u_FUT+AneV_a_3SM
koVlluwwAlYeV koVllu(V14)+uwwa_u_FUT+AlYeV_a_3SF
koVlluwwaxeV koVllu(V14)+uwwa_u_FUT+axeV_a_3SN
koVlluwwAreV koVllu(V14)+uwwa_u_FUT+AreV_a_3P
koVlluwwAreV koVllu(V14)+uwwa_u_FUT+AreV_a_3SH
koVlluwwaveV koVllu(V14)+uwwa_u_FUT+aveV_a_3PN
koVlluvanu koVllu(V14)+va_#_FUT+anu_a_3SM
koVlluvalYu koVllu(V14)+va_#_FUT+alYu_a_3FM
koVlluvuxu koVllu(V14)+va_#_FUT+uxu_a_3SN
koVlluvaru koVllu(V14)+va_#_FUT+aru_a_3P
koVlluvaru koVllu(V14)+va_#_FUT+aru_a_3SH
koVlluvuvu koVllu(V14)+va_#_FUT+vuvu_va_3PN
koVMxeVnu koVllu(V14)+Mxa_llu_PAST+eVnu_a_1S
koVMxeVvu koVllu(V14)+Mxa_llu_PAST+eVvu_a_1P
koVlluwweneV koVllu(V14)+uwwa_u_FUT+eneV_a_1S
koVlluwweveV koVllu(V14)+uwwa_u_FUT+eveV_a_1P
koVlluveVnu koVllu(V14)+va_#_FUT+eVnu_a_1S
koVlluveVvu koVllu(V14)+va_#_FUT+eVvu_a_1P
koVlloNa koVllu(V14)+oNa_u_1P
koVlluvanA koVllu(V14)+vanA_#_1P
koVMxi koVllu(V14)+Mxa_llu_PAST+i_a_2S
koVMxiri koVllu(V14)+Mxa_llu_PAST+iri_a_2S
koVMxiri koVllu(V14)+Mxa_llu_PAST+iri_a_2SH
koVlluwwi  koVllu(V14)+uwwa_u_FUT+wwi_wwa_2S
koVlluwwIri koVllu(V14)+uwwa_u_FUT+wwIri_wwa_2P
koVlluwwIri koVllu(V14)+uwwa_u_FUT+wwIri_wwa_2SH
koVlluviri koVllu(V14)+va_#_FUT+viri_va_2P
koVlluviri koVllu(V14)+va_#_FUT+viri_va_2SH
koVlluva koVllu(V14)+va_#_FUT_#_RP
koVMxa koVllu(V14)+Mxa_llu_PAST_#_RP
koVllalu koVllu(V14)+alu_u_INFN_#_INCH
koVllalikkeV koVllu(V14)+alikkeV_u_INFN_#_INCH
koVllokeV koVllu(V14)+okeV_u_INFN_#_INCH
koVllabeku koVllu(V14)+a_u_AVY+beku_#_FUT_#_IMPR
koVllakUdaxu koVllu(V14)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
koVllabAraxu koVllu(V14)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
koVllanu koVllu(V14)+anu_u_FUTNEG_#_3SM
koVllalYu koVllu(V14)+alYu_u_FUTNEG_#_3SF
koVllaxu koVllu(V14)+axu_u_FUTNEG_#_3SN
koVllaru koVllu(V14)+aru_u_FUTNEG_#_3P
koVllaru koVllu(V14)+aru_u_FUTNEG_#_3SH
