apaharisixanu apaharisu(V27)+ixa_u_PAST+anu_a_3SM   
apaharisixalYu apaharisu(V27)+ixa_u_PAST+alYu_a_3SF
apaharisixiwu apaharisu(V27)+ixa_u_PAST+iwu_a_3SN 
apaharisixaru apaharisu(V27)+ixa_u_PAST+aru_a_3P
apaharisixaru apaharisu(V27)+ixa_u_PAST+aru_a_3SH
apaharisixavu apaharisu(V27)+ixa_u_PAST+avu_a_3PN
apaharisuwwAneV apaharisu(V27)+uwwa_u_FUT+AneV_a_3SM
apaharisuwwAlYeV apaharisu(V27)+uwwa_u_FUT+AlYeV_a_3SF
apaharisuwwaxeV apaharisu(V27)+uwwa_u_FUT+axeV_a_3SN
apaharisuwwAreV apaharisu(V27)+uwwa_u_FUT+AreV_a_3P
apaharisuwwAreV apaharisu(V27)+uwwa_u_FUT+AreV_a_3SH
apaharisuwwaveV apaharisu(V27)+uwwa_u_FUT+aveV_a_3PN
apaharisuvanu apaharisu(V27)+va_#_FUT+anu_a_3SM
apaharisuvalYu apaharisu(V27)+va_#_FUT+alYu_a_3FM
apaharisuvuxu apaharisu(V27)+va_#_FUT+uxu_a_3SN
apaharisuvaru apaharisu(V27)+va_#_FUT+aru_a_3P
apaharisuvaru apaharisu(V27)+va_#_FUT+aru_a_3SH
apaharisuvuvu apaharisu(V27)+va_#_FUT+vuvu_va_3PN
apaharisixeVnu apaharisu(V27)+ixa_u_PAST+eVnu_a_1S
apaharisixeVvu apaharisu(V27)+ixa_u_PAST+eVvu_a_1P
apaharisuwweneV apaharisu(V27)+uwwa_u_FUT+eneV_a_1S
apaharisuwweveV apaharisu(V27)+uwwa_u_FUT+eveV_a_1P
apaharisuveVnu apaharisu(V27)+va_#_FUT+eVnu_a_1S
apaharisuveVvu apaharisu(V27)+va_#_FUT+eVvu_a_1P
apaharisoNa apaharisu(V27)+oNa_u_1P
apaharisuvanA apaharisu(V27)+vanA_#_1P
apaharisixi apaharisu(V27)+ixa_u_PAST+i_a_2S
apaharisixiri apaharisu(V27)+ixa_u_PAST+iri_a_2P
apaharisixiri apaharisu(V27)+ixa_u_PAST+iri_a_2SH
apaharisuwwi  apaharisu(V27)+uwwa_u_FUT+wwi_wwa_2S
apaharisuwwIri apaharisu(V27)+uwwa_u_FUT+wwIri_wwa_2P
apaharisuwwIri apaharisu(V27)+uwwa_u_FUT+wwIri_wwa_2SH
apaharisuviri apaharisu(V27)+va_#_FUT+viri_va_2P
apaharisuviri apaharisu(V27)+va_#_FUT+viri_va_2SH
apaharisuva apaharisu(V27)+va_#_FUT_#_RP
apaharisixa apaharisu(V27)+ixa_u_PAST_#_RP
apaharisalu apaharisu(V27)+alu_u_INFN_#_INCH
apaharisalikkeV apaharisu(V27)+alikkeV_u_INFN_#_INCH
apaharisokeV apaharisu(V27)+okeV_u_INFN_#_INCH
apaharisabeku apaharisu(V27)+a_u_AVY+beku_#_FUT_#_IMPR
apaharisakUdaxu apaharisu(V27)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
apaharisabaraxu apaharisu(V27)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
apaharisanu apaharisu(V27)+anu_u_FUTNEG_#_3SM
apaharisalYu apaharisu(V27)+alYu_u_FUTNEG_#_3SF
apaharisaxu apaharisu(V27)+axu_u_FUTNEG_#_3SN
apaharisaru apaharisu(V27)+aru_u_FUTNEG_#_3P
apaharisaru apaharisu(V27)+aru_u_FUTNEG_#_3SH
apaharisavu apaharisu(V27)+avu_u_FUTNEG_#_3PN
apaharisalAreV apaharisu(V27)+alu_u_FUTNEG+AreV_u_1S
apaharisalAreVvu apaharisu(V27)+alu_u_FUTNEG+AreVvu_u_1P
apaharisalAreVnu apaharisu(V27)+alu_u_FUTNEG+AreVnu_u_2S
apaharisalAriri apaharisu(V27)+alu_u_FUTNEG+Ariri_u_2P
apaharisalAriri apaharisu(V27)+alu_u_FUTNEG+Ariri_u_2SH
apaharisalAranu apaharisu(V27)+alu_u_FUTNEG+Aranu_u_3SM
apaharisalAralYu apaharisu(V27)+alu_u_FUTNEG+AralYu_u_3SF
apaharisalAraxu apaharisu(V27)+alu_u_FUTNEG+Araxu_u_3SN
apaharisalAraru apaharisu(V27)+alu_u_FUTNEG+Araru_u_3P
apaharisalAraru apaharisu(V27)+alu_u_FUTNEG+Araru_u_3SH
apaharisalAravu apaharisu(V27)+alu_u_FUTNEG+Aravu_u_3PN
apaharisalArxa apaharisu(V27)+alu_u_NEG+Arxa_u_3
apaharisaxa apaharisu(V27)+axa_u_NFV_#_NEG
apaharisaxeV apaharisu(V27)+axeV_u_NFV_#_NEG
apaharisixarU apaharisu(V27)+ixarU_u_NFV_#_CONS
apaharisuwwA apaharisu(V27)+uwwa_u_NFV+A_a_PRESCONT
apaharisi apaharisu(V27)+i_u_NFV_#_PASTPERF
apaharisali apaharisu(V27)+ali_u_FUTOPT_#_3SM
apaharisali apaharisu(V27)+ali_u_FUTOPT_#_3SF
apaharisali apaharisu(V27)+ali_u_FUTOPT_#_3P
apaharisali apaharisu(V27)+ali_u_FUTOPT_#_3SH
apaharisali apaharisu(V27)+ali_u_FUTOPT_#_3SN
