suttanu sudu(V22)+tta_du_PAST+anu_a_3SM   
suttalYu sudu(V22)+tta_du_PAST+alYu_a_3SF
suttiwu sudu(V22)+tta_du_PAST+iwu_a_3SN 
suttaru sudu(V22)+tta_du_PAST+aru_a_3P
suttaru sudu(V22)+tta_du_PAST+aru_a_3SH
suttavu sudu(V22)+tta_du_PAST+avu_a_3PN
suduwwAneV sudu(V22)+uwwa_u_FUT+AneV_a_3SM
suduwwAlYeV sudu(V22)+uwwa_u_FUT+AlYeV_a_3SF
suduwwaxeV sudu(V22)+uwwa_u_FUT+axeV_a_3SN
suduwwAreV sudu(V22)+uwwa_u_FUT+AreV_a_3P
suduwwAreV sudu(V22)+uwwa_u_FUT+AreV_a_3SH
suduwwaveV sudu(V22)+uwwa_u_FUT+aveV_a_3PN
suduvanu sudu(V22)+va_#_FUT+anu_a_3SM
suduvalYu sudu(V22)+va_#_FUT+alYu_a_3FM
suduvuxu sudu(V22)+va_#_FUT+uxu_a_3SN
suduvaru sudu(V22)+va_#_FUT+aru_a_3P
suduvaru sudu(V22)+va_#_FUT+aru_a_3SH
suduvuvu sudu(V22)+va_#_FUT+vuvu_va_3PN
sutteVnu sudu(V22)+tta_du_PAST+eVnu_a_1S
sutteVvu sudu(V22)+tta_du_PAST+eVvu_a_1P
suduwweneV sudu(V22)+uwwa_u_FUT+eneV_a_1S
suduwweveV sudu(V22)+uwwa_u_FUT+eveV_a_1P
suduveVnu sudu(V22)+va_#_FUT+eVnu_a_1S
suduveVvu sudu(V22)+va_#_FUT+eVvu_a_1P
sudoNa sudu(V22)+oNa_u_1P
suduvanA sudu(V22)+vanA_#_1P
sutti sudu(V22)+tta_du_PAST+i_a_2S
suttiri sudu(V22)+tta_du_PAST+iri_a_2P
suttiri sudu(V22)+tta_du_PAST+iri_a_2SH
suduwwi  sudu(V22)+uwwa_u_FUT+wwi_wwa_2S
suduwwIri sudu(V22)+uwwa_u_FUT+wwIri_wwa_2P
suduwwIri sudu(V22)+uwwa_u_FUT+wwIri_wwa_2SH
suduviri sudu(V22)+va_#_FUT+viri_va_2P
suduviri sudu(V22)+va_#_FUT+viri_va_2SH
suduva sudu(V22)+va_#_FUT_#_RP
sutta sudu(V22)+tta_du_PAST_#_RP
sudalu sudu(V22)+alu_u_INFN_#_INCH
sudalikkeV sudu(V22)+alikkeV_u_INFN_#_INCH
sudokeV sudu(V22)+okeV_u_INFN_#_INCH
sudabeku sudu(V22)+a_u_AVY+beku_#_FUT_#_IMPR
sudakUdaxu sudu(V22)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
sudabaraxu sudu(V22)+a_u_AVY+baraxu_#_FUT_#_NEGIMPR
sudanu sudu(V22)+anu_u_FUTNEG_#_3SM
sudalYu sudu(V22)+alYu_u_FUTNEG_#_3SF
sudaxu sudu(V22)+axu_u_FUTNEG_#_3SN
sudaru sudu(V22)+aru_u_FUTNEG_#_3P
sudaru sudu(V22)+aru_u_FUTNEG_#_3SH
sudavu sudu(V22)+avu_u_FUTNEG_#_3PN
sudalAreV sudu(V22)+alu_u_FUTNEG+AreV_u_1S
sudalAreVvu sudu(V22)+alu_u_FUTNEG+AreVvu_u_1P
sudalAreVnu sudu(V22)+alu_u_FUTNEG+AreVnu_u_2S
sudalAriri sudu(V22)+alu_u_FUTNEG+Ariri_u_2P
sudalAriri sudu(V22)+alu_u_FUTNEG+Ariri_u_2SH
sudalAranu sudu(V22)+alu_u_FUTNEG+Aranu_u_3SM
sudalAralYu sudu(V22)+alu_u_FUTNEG+AralYu_u_3SF
sudalAraxu sudu(V22)+alu_u_FUTNEG+Araxu_u_3SN
sudalAraru sudu(V22)+alu_u_FUTNEG+Araru_u_3P
sudalAraru sudu(V22)+alu_u_FUTNEG+Araru_u_3SH
sudalAravu sudu(V22)+alu_u_FUTNEG+Aravu_u_3PN
sudalArxa sudu(V22)+alu_u_NEG+Arxa_u_3
sudaxa sudu(V22)+axa_u_NFV_#_NEG
sudaxeV sudu(V22)+axeV_u_NFV_#_NEG
suttarU sudu(V22)+ttarU_du_NFV_#_CONS
suduwwA sudu(V22)+uwwa_u_NFV+A_a_PRESCONT
suttu sudu(V22)+ttu_du_NFV_#_PASTPERF
sudali sudu(V22)+ali_u_FUTOPT_#_3SM
sudali sudu(V22)+ali_u_FUTOPT_#_3SF
sudali sudu(V22)+ali_u_FUTOPT_#_3P
sudali sudu(V22)+ali_u_FUTOPT_#_3SH
sudali sudu(V22)+ali_u_FUTOPT_#_3SN
sudali sudu(V22)+ali_u_FUTOPT_#_3SM

sudaballa sudu(V22)+suda_sudu_AVY+balla_#_FUTINF_#_CAP
sudaballanu sudu(V22)+suda_sudu_AVY+balla_#_FUTCAP+anu_a_3SM
sudaballalYu sudu(V22)+suda_sudu_AVY+balla_#_FUTCAP+alYu_a_3SF
sudaballaxu sudu(V22)+suda_sudu_AVY+balla_#_FUTCAP+axu_a_3SN
sudaballaru sudu(V22)+suda_sudu_AVY+balla_#_FUTCAP+aru_a_3P
sudaballaru sudu(V22)+suda_sudu_AVY+balla_#_FUTCAP+aru_a_3SH
sudaballavu sudu(V22)+suda_sudu_AVY+balla_#_FUTCAP+avu_a_3PN
suttAnu sudu(V22)+tta_du_FUTDUB+Anu_a_3SM
suttAlYu sudu(V22)+tta_du_FUTDUB+AlYu_a_3SF
suttAru sudu(V22)+tta_du_FUTDUB+Aru_a_3P
suttAru sudu(V22)+tta_du_FUTDUB+Aru_a_3SH
suttIwu sudu(V22)+tta_du_FUTDUB+Iwu_a_3SN
suttAvu sudu(V22)+tta_du_FUTDUB+Avu_a_3PN
suttenu sudu(V22)+tta_du_FUTDUB+enu_a_1S
suttevu sudu(V22)+tta_du_FUTDUB+evu_a_1P
suttIyeV sudu(V22)+tta_du_FUTDUB+IyeV_a_2S
suttIri sudu(V22)+tta_du_FUTDUB+Iri_a_2P
suttIri sudu(V22)+tta_du_FUTDUB+Iri_a_2SH
suttareV sudu(V22)+tta_du_NFV+areV_a_COND
suttalli sudu(V22)+tta_du_NFV+alli_a_COND
suduvuxilla sudu(V22)+vuxu_#_AVY+illa_u_NEG
sudabahuxu sudu(V22)+a_u_AVY+bahuxu_#_FUTPOTEN
sudalebeku sudu(V22)+alu_u_COMP+e_u_AVY+beku_#_FUT
suduvavanu sudu(V22)+va_#_PRP+avanu_a_3SM
suduvavalYu sudu(V22)+va_#_PRP+avalYu_a_3FM
suduvavaru sudu(V22)+va_#_PRP+avaru_a_3P
sudaxavanu sudu(V22)+axa_u_PRP+avanu_a_3SM
sudaxavalYu sudu(V22)+axa_u_PRP+avalYu_a_3FM
sudaxavaru sudu(V22)+axa_u_PRP+avaru_a_3P
suttavanu sudu(V22)+tta_du_PRP+avanu_a_3SM 
suttavalYu sudu(V22)+tta_du_PRP+avalYu_a_3FM 
suttavaru sudu(V22)+tta_du_PRP+avaru_a_3P 
sudalAraxavanu sudu(V22)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
sudalAraxavalYu sudu(V22)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
sudalAraxavaru sudu(V22)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
suduwwiruvavanu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
suduwwiruvavalYu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
suduwwiruvavaru sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
suduwwiruvuxu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
suduwwiruvuvu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
suduwwiruva sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
suduwwiruvavanu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
suduwwiruvavalYu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
suduwwiruvavaru sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
suduwwixxu sudu(V22)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
suduwwixxavu sudu(V22)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
sudaliruvavanu sudu(V22)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
sudaliruvavalYu sudu(V22)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
sudaliruvavaru sudu(V22)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
sudaliruvanu sudu(V22)+alu_u_AUX+liruvanu_lu_3SM
sudaliruvalYu sudu(V22)+alu_u_AUX+liruvalYu_lu_3SF
sudaliruvaru sudu(V22)+alu_u_AUX+liruvaru_lu_3P
sudaliruvaxu sudu(V22)+alu_u_AUX+liruvaxu_lu_3SN
sudaliruvavu sudu(V22)+alu_u_AUX+liruvavu_lu_3PN
sudaballavanu sudu(V22)+a_u_AVY+ballavanu_#_3SM
sudaballavalYu sudu(V22)+a_u_#_AVY+ballavalYu_#_3SF
sudaballavaru sudu(V22)+a_u_AVY+ballavaru_#_3P
sudaballaxu sudu(V22)+a_u_AVY+ballaxu_#_3SN
sudaballavu sudu(V22)+a_u_AVY+ballavu_#_3PN
suduwwixxAneV sudu(V22)+uwwa_u_AUX+wwixxAneV_wwa_3SM
suduwwixxAlYeV sudu(V22)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
suduwwixxAreV sudu(V22)+uwwa_u_AUX+wwixxAreV_wwa_3P
suduwwixeV sudu(V22)+uwwa_u_AUX+wwixeV_wwa_3SN
suduwwiveV sudu(V22)+uwwa_u_AUX+wwiveV_wwa_3PN
sudalpattanu sudu(V22)+alpadu_u_PAST+pattanu_padu_3SM
sudalpattalYu sudu(V22)+alpadu_u_PAST+pattalYu_padu_3SF
sudalpattsudu sudu(V22)+alpadu_u_PAST+pattsudu_padu_3P
sudalpattaru sudu(V22)+alpadu_u_PAST+pattaru_padu_3SH
sudalpattiwu sudu(V22)+alpadu_u_PAST+pattiwu_padu_3SN
sudalpattavu sudu(V22)+alpadu_u_PAST+pattavu_padu_3PN
sudalpaduwwaxeV sudu(V22)+alpadu_u_FUT+duwwaxeV_du_3SN
sudalpaduwwaveV sudu(V22)+alpadu_u_FUT+duwwaveV_du_3PN
sudalpaduvuxu sudu(V22)+alpadu_u_FUT+vuxu_#_3SN
sudalpaduvuvu sudu(V22)+alpadu_u_FUT+vuvu_#_3PN
sudalpadanu sudu(V22)+alpadu_u_FUTNEG+danu_du_3SM
sudalpadalYu sudu(V22)+alpadu_u_FUTNEG+dalYu_du_3SF
sudalpadaru sudu(V22)+alpadu_u_FUTNEG+daru_du_3P
sudalpadaru sudu(V22)+alpadu_u_FUTNEG+daru_du_3SH
sudalpadaxu sudu(V22)+alpadu_u_FUTNEG+daxu_du_3SN
sudalpadavu sudu(V22)+alpadu_u_FUTNEG+davu_du_3PN
sudalpattAnu sudu(V22)+alpadu_u_FUTDUB+ttAnu_du_3SM
sudalpattAlYu sudu(V22)+alpadu_u_FUTDUB+ttAlYu_du_3PF
sudalpattAru sudu(V22)+alpadu_u_FUTDUB+ttAru_du_3P
sudalpattAru sudu(V22)+alpadu_u_FUTDUB+ttAru_du_3SH
sudalpattIwu sudu(V22)+alpadu_u_FUTDUB+ttIwu_du_3SN
sudalpattAvu sudu(V22)+alpadu_u_FUTDUB+ttAvu_du_3PN
sudalpadabeku sudu(V22)+alpada_u_#_AVY+beku_#_FUTIMP
sudalpadabAraxu sudu(V22)+alpada_u_#_AVY+sudaxu_#_NEGIMPR
sudalpadakUdaxu sudu(V22)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
sudalpadali sudu(V22)+alpadu_u_FUTOPT+dali_du_3SN
sudalpadali sudu(V22)+alpadu_u_FUTOPT+dali_du_3PN
sudalpadasuda sudu(V22)+alpada_u_AVY+suda_#_FUTCAP
sudalpadasudaxu sudu(V22)+alpada_u_AVY+sudaxu_#_FUTCAP
sudalpadasudavu sudu(V22)+alpada_u_AVY+sudavu_#_FUTCAP
sudalpadabahuxu sudu(V22)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
sudalpadabahuxu sudu(V22)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
sudalpadabeku sudu(V22)+alpada_u_AVY+beku_#_FUTCOMP
