sawwanu sAyu(V2)+awwa_Ayu_PAST+anu_a_3SM   
sawwalYu sAyu(V2)+awwa_Ayu_PAST+alYu_a_3SF
sawwiwu sAyu(V2)+awwa_Ayu_PAST+iwu_a_3SN 
sawwaru sAyu(V2)+awwa_Ayu_PAST+aru_a_3P
sawwaru sAyu(V2)+awwa_Ayu_PAST+aru_a_3SH
sawwavu sAyu(V2)+awwa_Ayu_PAST+avu_a_3PN
sAyuwwAneV sAyu(V2)+uwwa_u_FUT+AneV_a_3SM
sAyuwwAlYeV sAyu(V2)+uwwa_u_FUT+AlYeV_a_3SF
sAyuwwaxeV sAyu(V2)+uwwa_u_FUT+axeV_a_3SN
sAyuwwAreV sAyu(V2)+uwwa_u_FUT+AreV_a_3P
sAyuwwAreV sAyu(V2)+uwwa_u_FUT+AreV_a_3SH
sAyuwwaveV sAyu(V2)+uwwa_u_FUT+aveV_a_3PN
sAyuvanu sAyu(V2)+va_#_FUT+anu_a_3SM
sAyuvaAyu sAyu(V2)+va_#_FUT+aAyu_a_3FM
sAyuvuxu sAyu(V2)+va_#_FUT+uxu_a_3SN
sAyuvaru sAyu(V2)+va_#_FUT+aru_a_3P
sAyuvaru sAyu(V2)+va_#_FUT+aru_a_3SH
sAyuvuvu sAyu(V2)+va_#_FUT+vuvu_va_3PN
sawweVnu sAyu(V2)+awwa_Ayu_PAST+eVnu_a_1S
sawweVvu sAyu(V2)+awwa_Ayu_PAST+eVvu_a_1P
sAyuwweneV sAyu(V2)+uwwa_u_FUT+eneV_a_1S
sAyuwweveV sAyu(V2)+uwwa_u_FUT+eveV_a_1P
sAyuveVnu sAyu(V2)+va_#_FUT+eVnu_a_1P 
sAyuveVvu sAyu(V2)+va_#_FUT+eVvu_a_1P

sAyoNa sAyu(V2)+yoNa_yu_1P
sAyuvanA sAyu(V2)+vanA_#_1P

sawwi sAyu(V2)+awwa_Ayu_PAST+i_a_2S
sawwiri sAyu(V2)+awwa_Ayu_PAST+iri_a_2S
sawwiri sAyu(V2)+awwa_Ayu_PAST+iri_a_2SH
sAyuwwi  sAyu(V2)+uwwa_u_FUT+wwi_wwa_2S
sAyuwwIri sAyu(V2)+uwwa_u_FUT+wwIri_wwa_2P
sAyuwwIri sAyu(V2)+uwwa_u_FUT+wwIri_wwa_2SH
sAyuviri sAyu(V2)+va_#_FUT+viri_va_2P
sAyuviri sAyu(V2)+va_#_FUT+viri_va_2SH
sAyuva sAyu(V2)+va_#_FUT_#_RP
sawwa sAyu(V2)+awwa_Ayu_PAST_#_RP
sAyalu sAyu(V2)+alu_u_INFN_#_INCH
sAyalikkeV sAyu(V2)+alikkeV_u_INFN_#_INCH
sAyokeV sAyu(V2)+okeV_u_INFN_#_INCH
