baMxanu baru(V16)+Mxa_ru_PAST+anu_a_3SM   
baMxalYu baru(V16)+Mxa_ru_PAST+alYu_a_3SF
baMxiwu baru(V16)+Mxa_ru_PAST+iwu_a_3SN 
baMxaru baru(V16)+Mxa_ru_PAST+aru_a_3P
baMxaru baru(V16)+Mxa_ru_PAST+aru_a_3SH
baMxavu baru(V16)+Mxa_ru_PAST+avu_a_3PN
baruwwAneV baru(V16)+uwwa_u_FUT+AneV_a_3SM
baruwwAlYeV baru(V16)+uwwa_u_FUT+AlYeV_a_3SF
baruwwaxeV baru(V16)+uwwa_u_FUT+axeV_a_3SN
baruwwAreV baru(V16)+uwwa_u_FUT+AreV_a_3P
baruwwAreV baru(V16)+uwwa_u_FUT+AreV_a_3SH
baruwwaveV baru(V16)+uwwa_u_FUT+aveV_a_3PN
baruvanu baru(V16)+va_#_FUT+anu_a_3SM
baruvalYu baru(V16)+va_#_FUT+alYu_a_3FM
baruvuxu baru(V16)+va_#_FUT+uxu_a_3SN
baruvaru baru(V16)+va_#_FUT+aru_a_3P
baruvaru baru(V16)+va_#_FUT+aru_a_3SH
baruvuvu baru(V16)+va_#_FUT+vuvu_va_3PN
baMxeVnu baru(V16)+Mxa_ru_PAST+eVnu_a_1S
baMxeVvu baru(V16)+Mxa_ru_PAST+eVvu_a_1P
baruwweneV baru(V16)+uwwa_u_FUT+eneV_a_1S
baruwweveV baru(V16)+uwwa_u_FUT+eveV_a_1P
baruveVnu baru(V16)+va_#_FUT+eVnu_a_1S
baruveVvu baru(V16)+va_#_FUT+eVvu_a_1P
baroNa baru(V16)+oNa_u_1P
baruvanA baru(V16)+vanA_#_1P
baMxi baru(V16)+Mxa_ru_PAST+i_a_2S
baMxiri baru(V16)+Mxa_ru_PAST+iri_a_2S
baMxiri baru(V16)+Mxa_ru_PAST+iri_a_2SH
baruwwi  baru(V16)+uwwa_u_FUT+wwi_wwa_2S
baruwwIri baru(V16)+uwwa_u_FUT+wwIri_wwa_2P
baruwwIri baru(V16)+uwwa_u_FUT+wwIri_wwa_2SH
baruviri baru(V16)+va_#_FUT+viri_va_2P
baruviri baru(V16)+va_#_FUT+viri_va_2SH
baruva baru(V16)+va_#_FUT_#_RP
baMxa baru(V16)+Mxa_ru_PAST_#_RP
baralu baru(V16)+alu_u_INFN_#_INCH
baralikkeV baru(V16)+alikkeV_u_INFN_#_INCH
barokeV baru(V16)+okeV_u_INFN_#_INCH
barabeku baru(V16)+a_u_AVY+beku_#_FUT_#_IMPR
barakUdaxu baru(V16)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
barabAraxu baru(V16)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
baranu baru(V16)+anu_u_FUTNEG_#_3SM
baralYu baru(V16)+alYu_u_FUTNEG_#_3SF
baraxu baru(V16)+axu_u_FUTNEG_#_3SN
bararu baru(V16)+aru_u_FUTNEG_#_3P
bararu baru(V16)+aru_u_FUTNEG_#_3SH
baravu baru(V16)+avu_u_FUTNEG_#_3PN
baralAreV baru(V16)+alu_u_FUTNEG+AreV_u_1S
baralAreVvu baru(V16)+alu_u_FUTNEG+AreVvu_u_1P
baralAreVnu baru(V16)+alu_u_FUTNEG+AreVnu_u_2S
baralAriri baru(V16)+alu_u_FUTNEG+Ariri_u_2P
baralAriri baru(V16)+alu_u_FUTNEG+Ariri_u_2SH
baralAranu baru(V16)+alu_u_FUTNEG+Aranu_u_3SM
baralAralYu baru(V16)+alu_u_FUTNEG+AralYu_u_3SF
baralAraxu baru(V16)+alu_u_FUTNEG+Araxu_u_3SN
baralAraru baru(V16)+alu_u_FUTNEG+Araru_u_3P
baralAraru baru(V16)+alu_u_FUTNEG+Araru_u_3SH
baralAravu baru(V16)+alu_u_FUTNEG+Aravu_u_3PN
baralArxa baru(V16)+alu_u_NEG+Arxa_u_3
baraxa baru(V16)+axa_u_NFV_#_NEG
baraxeV baru(V16)+axeV_u_NFV_#_NEG
baMxarU baru(V16)+MxarU_ru_NFV_#_CONS
baruwwA baru(V16)+uwwa_u_NFV+A_a_PRESCONT
baMxu baru(V16)+Mxu_ru_NFV_#_PASTPERF
barali baru(V16)+ali_u_FUTOPT_#_3SM
barali baru(V16)+ali_u_FUTOPT_#_3SF
barali baru(V16)+ali_u_FUTOPT_#_3P
barali baru(V16)+ali_u_FUTOPT_#_3SH
barali baru(V16)+ali_u_FUTOPT_#_3SN
barali baru(V16)+ali_u_FUTOPT_#_3SM
bari baru(V16)+i_u_FUTPERM_2P
bari baru(V16)+i_u_FUTPERM_2SH
barabara baru(V16)+bara_baru_AVY+bara_#_FUTINF_#_CAP
barabaranu baru(V16)+bara_baru_AVY+bara_#_FUTCAP+anu_a_3SM
barabaralYu baru(V16)+bara_baru_AVY+bara_#_FUTCAP+alYu_a_3SF
barabaraxu baru(V16)+bara_baru_AVY+bara_#_FUTCAP+axu_a_3SN
barabararu baru(V16)+bara_baru_AVY+bara_#_FUTCAP+aru_a_3P
barabararu baru(V16)+bara_baru_AVY+bara_#_FUTCAP+aru_a_3SH
barabaravu baru(V16)+bara_baru_AVY+bara_#_FUTCAP+avu_a_3PN
baMxAnu baru(V16)+Mxa_ru_FUTDUB+Anu_a_3SM
baMxAlYu baru(V16)+Mxa_ru_FUTDUB+AlYu_a_3SF
baMxAru baru(V16)+Mxa_ru_FUTDUB+Aru_a_3P
baMxAru baru(V16)+Mxa_ru_FUTDUB+Aru_a_3SH
baMxIwu baru(V16)+Mxa_ru_FUTDUB+Iwu_a_3SN
baMxAvu baru(V16)+Mxa_ru_FUTDUB+Avu_a_3PN
baMxenu baru(V16)+Mxa_ru_FUTDUB+enu_a_1S
baMxevu baru(V16)+Mxa_ru_FUTDUB+evu_a_1P
baMxIyeV baru(V16)+Mxa_ru_FUTDUB+IyeV_a_2S
baMxIri baru(V16)+Mxa_ru_FUTDUB+Iri_a_2P
baMxIri baru(V16)+Mxa_ru_FUTDUB+Iri_a_2SH
baMxareV baru(V16)+Mxa_ru_NFV+areV_a_COND
baMxalli baru(V16)+Mxa_ru_NFV+alli_a_COND
baruvuxilla baru(V16)+ruvuxu_ru_AVY+illa_u_NEG
barabahuxu baru(V16)+a_u_AVY+bahuxu_#_FUTPOTEN
baralebeku baru(V16)+alu_u_COMP+e_u_AVY+beku_#_FUT
baruvavanu baru(V16)+va_#_PRP+avanu_a_3SM
baruvavalYu baru(V16)+va_#_PRP+avalYu_a_3FM
baruvavaru baru(V16)+va_#_PRP+avaru_a_3P
baraxavanu baru(V16)+axa_u_PRP+avanu_a_3SM
baraxavalYu baru(V16)+axa_u_PRP+avalYu_a_3FM
baraxavaru baru(V16)+axa_u_PRP+avaru_a_3P
baMxavanu baru(V16)+Mxa_ru_PRP+avanu_a_3SM 
baMxavalYu baru(V16)+Mxa_ru_PRP+avalYu_a_3FM 
baMxavaru baru(V16)+Mxa_ru_PRP+avaru_a_3P 
baralAraxavanu baru(V16)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
baralAraxavalYu baru(V16)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
baralAraxavaru baru(V16)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
baruwwiruvavanu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
baruwwiruvavalYu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
baruwwiruvavaru baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
baruwwiruvuxu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
baruwwiruvuvu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
baruwwiruva baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
baruwwixMxavanu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avanu_a_3SM 
baruwwixMxavalYu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avalYu_a_3FM 
baruwwixMxavaru baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avaru_a_3P 
baruwwixxu baru(V16)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
baruwwixMxavu baru(V16)+uwwa_u_AUX+wwiru_wwa_RP+xMxa_ru_PRP+avu_a_3PN
baraliruvavanu baru(V16)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
baraliruvavalYu baru(V16)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
baraliruvavaru baru(V16)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
baraliruvanu baru(V16)+alu_u_AUX+liruvanu_lu_3SM
baraliruvalYu baru(V16)+alu_u_AUX+liruvalYu_lu_3SF
baraliruvaru baru(V16)+alu_u_AUX+liruvaru_lu_3P
baraliruvaxu baru(V16)+alu_u_AUX+liruvaxu_lu_3SN
baraliruvavu baru(V16)+alu_u_AUX+liruvavu_lu_3PN
barabaravanu baru(V16)+a_u_AVY+baravanu_#_3SM
barabaravalYu baru(V16)+a_u_#_AVY+baravalYu_#_3SF
barabaravaru baru(V16)+a_u_AVY+baravaru_#_3P
barabaraxu baru(V16)+a_u_AVY+baraxu_#_3SN
barabaravu baru(V16)+a_u_AVY+baravu_#_3PN
baruwwixMxaneV baru(V16)+uwwa_u_AUX+wwixMxaneV_wwa_3SM
baruwwixMxalYeV baru(V16)+uwwa_u_AUX+wwixMxalYeV_wwa_3FM
baruwwixMxareV baru(V16)+uwwa_u_AUX+wwixMxareV_wwa_3FM
baruwwixeV baru(V16)+uwwa_u_AUX+wwixeV_wwa_3SN
baruwwiveV baru(V16)+uwwa_u_AUX+wwiveV_wwa_3PN
baralpattanu baru(V16)+alpadu_u_PAST+pattanu_padu_3SM
baralpattalYu baru(V16)+alpadu_u_PAST+pattalYu_padu_3SF
baralpattbaru baru(V16)+alpadu_u_PAST+pattbaru_padu_3P
baralpattaru baru(V16)+alpadu_u_PAST+pattaru_padu_3SH
baralpattiwu baru(V16)+alpadu_u_PAST+pattiwu_padu_3SN
baralpattavu baru(V16)+alpadu_u_PAST+pattavu_padu_3PN
baralpaduwwaxeV baru(V16)+alpadu_u_FUT+duwwaxeV_du_3SN
baralpaduwwaveV baru(V16)+alpadu_u_FUT+duwwaveV_du_3PN
baralpaduvuxu baru(V16)+alpadu_u_FUT+vuxu_#_3SN
baralpaduvuvu baru(V16)+alpadu_u_FUT+vuvu_#_3PN
baralpadanu baru(V16)+alpadu_u_FUTNEG+danu_du_3SM
baralpadalYu baru(V16)+alpadu_u_FUTNEG+dalYu_du_3SF
baralpadaru baru(V16)+alpadu_u_FUTNEG+daru_du_3P
baralpadaru baru(V16)+alpadu_u_FUTNEG+daru_du_3SH
baralpadaxu baru(V16)+alpadu_u_FUTNEG+daxu_du_3SN
baralpadavu baru(V16)+alpadu_u_FUTNEG+davu_du_3PN
baralpattAnu baru(V16)+alpadu_u_FUTDUB+ttAnu_du_3SM
baralpattAlYu baru(V16)+alpadu_u_FUTDUB+ttAlYu_du_3PF
baralpattAru baru(V16)+alpadu_u_FUTDUB+ttAru_du_3P
baralpattAru baru(V16)+alpadu_u_FUTDUB+ttAru_du_3SH
baralpattIwu baru(V16)+alpadu_u_FUTDUB+ttIwu_du_3SN
baralpattAvu baru(V16)+alpadu_u_FUTDUB+ttAvu_du_3PN
baralpadabeku baru(V16)+alpada_u_#_AVY+beku_#_FUTIMP
baralpadabAraxu baru(V16)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
baralpadakUdaxu baru(V16)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
baralpadali baru(V16)+alpadu_u_FUTOPT+dali_du_3SN
baralpadali baru(V16)+alpadu_u_FUTOPT+dali_du_3PN
baralpadabara baru(V16)+alpada_u_AVY+bara_#_FUTCAP
baralpadabaraxu baru(V16)+alpada_u_AVY+baraxu_#_FUTCAP
baralpadabaravu baru(V16)+alpada_u_AVY+baravu_#_FUTCAP
baralpadabahuxu baru(V16)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
baralpadabahuxu baru(V16)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
baralpadabeku baru(V16)+alpada_u_AVY+beku_#_FUTCOMP
baralpadalebeku baru(V16)+alpada_u_AVY+lebeku_#_FUTCOMP
baralpadalAraxu baru(V16)+alpadu_u_FUTNEG+alAraxu_u_3SN
baralpadalAravu baru(V16)+alpadu_u_FUTNEG+alAravu_u_3PN
baralpadalAraxa baru(V16)+alpadu_u_NEG+alAraxa_u_3SN
baralpattarU baru(V16)+alpadu_u_FUTCOND+ttarU_du_NFV
baralpaduwwa baru(V16)+alpadu_u_PRESCONT+uwwa_u_NFV
baralpatta baru(V16)+alpadu_u_RP+tta_du_PAST
baralpadaxeV baru(V16)+alpadu_u_NEG+axeV_u_NFV	
baralpadaxa baru(V16)+alpadu_u_NEG+axa_u_NFV
baralpattu baru(V16)+alpadu_u_PAST+pattu_padu_NFV
baralpaduva baru(V16)+alpadu_u_FUT+va_#_RP
baralpadalu baru(V16)+alpadu_u_INFN+alu_u_FUTINCH
baralpadalikkeV baru(V16)+alpadu_u_INFN+alikkeV_u_FUTINCH
baralpattareV baru(V16)+alpadu_u_FUTCOND+pattareV_padu_NFV
baralpattalli baru(V16)+alpadu_u_FUTCOND+pattalli_padu_NFV
baralpaduwwiruva baru(V16)+alpadu_u_AUX+uwwiruva_u_RP
baralpaduwwixMxa baru(V16)+alpadu_u_AUX+uwwixMxa_u_RP
baralpaduwwaliruva baru(V16)+alpadu_u_AUX+uwwaliruva_u_RP
baralpaduwwirabekaxa baru(V16)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
baMxanA baru(V16)+MxanA_ru_INTR
baMxalYA baru(V16)+MxalYA_ru_INTR
baMxiwA baru(V16)+MxiwA_ru_INTR
baMxarA baru(V16)+MxarA_ru_INTR
baMxavA baru(V16)+MxavA_ru_INTR
baruwwAnA baru(V16)+uwwAnA_u_INTR
baruwwAlYA baru(V16)+uwwAlYA_u_INTR
baruwwbaMxa baru(V16)+uwwbaMxa_u_INTR
baruvanA baru(V16)+vanA_#_INTR
baruvalYA baru(V16)+valYA_#_INTR
baruvuMxa baru(V16)+vuMxa_#_INTR
baruvarA baru(V16)+varA_#_INTR
baruvuvA baru(V16)+vuvA_#_INTR
baruwwiyA baru(V16)+uwwiyA_u_INTR
baruwwiriyA baru(V16)+uwwiriyA_u_INTR
baruwwIrA baru(V16)+uwwIrA_u_INTR
baruviyA baru(V16)+viyA_#_INTR
