sowanu solu(V5)+wa_lu_PAST+anu_a_3SM   
sowalYu solu(V5)+wa_lu_PAST+alYu_a_3SF
sowiwu solu(V5)+wa_lu_PAST+iwu_a_3SN 
sowaru solu(V5)+wa_lu_PAST+aru_a_3P
sowaru solu(V5)+wa_lu_PAST+aru_a_3SH
sowavu solu(V5)+wa_lu_PAST+avu_a_3PN
soluwwAneV solu(V5)+uwwa_u_FUT+AneV_a_3SM
soluwwAlYeV solu(V5)+uwwa_u_FUT+AlYeV_a_3SF
soluwwaxeV solu(V5)+uwwa_u_FUT+axeV_a_3SN
soluwwAreV solu(V5)+uwwa_u_FUT+AreV_a_3P
soluwwAreV solu(V5)+uwwa_u_FUT+AreV_a_3SH
soluwwaveV solu(V5)+uwwa_u_FUT+aveV_a_3PN
soluvanu solu(V5)+va_#_FUT+anu_a_3SM
soluva solu(V5)+va_#_FUT+a_a_3FM
soluvuxu solu(V5)+va_#_FUT+uxu_a_3SN
soluva solu(V5)+va_#_FUT+a_a_3P
soluva solu(V5)+va_#_FUT+a_a_3SH
soluvuvu solu(V5)+va_#_FUT+vuvu_va_3PN
soweVnu solu(V5)+wa_lu_PAST+eVnu_a_1S
soweVvu solu(V5)+wa_lu_PAST+eVvu_a_1P
soluwweneV solu(V5)+uwwa_u_FUT+eneV_a_1S
soluwweveV solu(V5)+uwwa_u_FUT+eveV_a_1P

soluveVnu solu(V5)+va_#_FUT+eVnu_a_1P
soluveVvu solu(V5)+va_#_FUT+eVvu_a_1P

soloNa solu(V5)+oNa_u_1P
soluvanA solu(V5)+vanA_#_1P

sowi solu(V5)+wa_lu_PAST+i_a_2S
sowiri solu(V5)+wa_lu_PAST+iri_a_2P
sowiri solu(V5)+wa_lu_PAST+iri_a_2SH
soluwwi solu(V5)+wwa_#_FUT+wwi_wwa_2S
soluwwIri solu(V5)+wwa_#_FUT+wwIri_wwa_2P
soluwwIri solu(V5)+wwa_#_FUT+wwIri_wwa_2SH
soluviri solu(V5)+va_#_FUT+viri_va_2P
soluviri solu(V5)+va_#_FUT+viri_va_2SH
soluva solu(V5)+va_#_FUT_#_RP
sowa solu(V5)+wa_lu_PAST_#_RP
solalu solu(V5)+alu_u_INFN_#_INCH
solalikkeV solu(V5)+alikkeV_u_INFN_#_INCH
solokeV solu(V5)+okeV_u_INFN_#_INCH
solabeku solu(V5)+a_u_AVY+beku_#_FUT_#_IMPR
solakUdaxu solu(V5)+a_u_AVY+kUdaxu_#_FUT_#_NEGIMPR
solabAraxu solu(V5)+a_u_AVY+bAraxu_#_FUT_#_NEGIMPR
solanu solu(V5)+anu_u_FUTNEG_#_3SM
sola solu(V5)+a_u_FUTNEG_#_3SF
solaxu solu(V5)+axu_u_FUTNEG_#_3SN
sola solu(V5)+a_u_FUTNEG_#_3P
sola solu(V5)+a_u_FUTNEG_#_3SH
solavu solu(V5)+avu_u_FUTNEG_#_3PN
solalAreV solu(V5)+alu_u_FUTNEG+AreV_u_1S
solalAreVvu solu(V5)+alu_u_FUTNEG+AreVvu_u_1P
solalAreV solu(V5)+alu_u_FUTNEG+AreV_u_2S
solalAriri solu(V5)+alu_u_FUTNEG+Ariri_u_2P
solalAriri solu(V5)+alu_u_FUTNEG+Ariri_u_2SH
solalAranu solu(V5)+alu_u_FUTNEG+Aranu_u_3SM
solalAra solu(V5)+alu_u_FUTNEG+Ara_u_3SF
solalAraxu solu(V5)+alu_u_FUTNEG+Araxu_u_3SN
solalAra solu(V5)+alu_u_FUTNEG+Ara_u_3P
solalAra solu(V5)+alu_u_FUTNEG+Ara_u_3SH
solalAravu solu(V5)+alu_u_FUTNEG+Aravu_u_3PN
solalAraxa solu(V5)+alu_u_NEG+Araxa_u_3
solaxa solu(V5)+axa_u_NFV_#_NEG
solaxeV solu(V5)+axeV_u_NFV_#_NEG
sowarU solu(V5)+warU_lu_NFV_#_CONS
soluwwA solu(V5)+uwwa_u_NFV+A_a_PRESCONT
sowu solu(V5)+wu_lu_NFV_#_PERF
solali solu(V5)+ali_u_FUTOPT_#_3SM
solali solu(V5)+ali_u_FUTOPT_#_3SF
solali solu(V5)+ali_u_FUTOPT_#_3P
solali solu(V5)+ali_u_FUTOPT_#_3SH
solali solu(V5)+ali_u_FUTOPT_#_3SN
solali solu(V5)+ali_u_FUTOPT_#_3PN
soli solu(V5)+i_u_FUTPERM_2SH
solaballa solu(V5)+sola_solu_AVY+balla_#_FUTINF_#_CAP
solaballanu solu(V5)+sola_solu_AVY+balla_#_FUTCAP+anu_a_3SM
solaballa solu(V5)+sola_solu_AVY+balla_#_FUTCAP+a_a_3SF
solaballaxu solu(V5)+sola_solu_AVY+balla_#_FUTCAP+axu_a_3SN
solaballaru solu(V5)+sola_solu_AVY+balla_#_FUTCAP+aru_a_3P
solaballaru solu(V5)+sola_solu_AVY+balla_#_FUTCAP+aru_a_3SH
solaballavu solu(V5)+sola_solu_AVY+balla_#_FUTCAP+avu_a_3PN
sowAnu solu(V5)+wa_lu_FUTDUB+Anu_a_3SM  
sowAlYu solu(V5)+wa_lu_FUTDUB+AlYu_a_3SF
sowAru solu(V5)+wa_lu_FUTDUB+Aru_a_3P
sowAru solu(V5)+wa_lu_FUTDUB+Aru_a_3SH
sowIwu solu(V5)+wa_lu_FUTDUB+Iwu_a_3SN
sowAvu solu(V5)+wa_lu_FUTDUB+Avu_a_3PN
sowenu solu(V5)+wa_lu_FUTDUB+enu_a_1S
sowevu solu(V5)+wa_lu_FUTDUB+evu_a_1P
sowIyeV solu(V5)+wa_lu_FUTDUB+IyeV_a_2S
sowIri solu(V5)+wa_lu_FUTDUB+Iri_a_2P
sowIri solu(V5)+wa_lu_FUTDUB+Iri_a_2SH
sowareV solu(V5)+wa_lu_NFV+areV_a_COND
sowalli solu(V5)+wa_lu_NFV+alli_a_COND

soluvuxilla solu(V5)+vuxu_#_AVY+illa_u_NEG
solabahuxu solu(V5)+a_u_AVY+bahuxu_#_FUTPOTEN
solalebeku solu(V5)+alu_u_COMP+e_u_AVY+beku_#_FUT
soluvavanu solu(V5)+va_#_PRP+avanu_a_3SM
soluvavalYu solu(V5)+va_#_PRP+avalYu_a_3FM
soluvava solu(V5)+va_#_PRP+ava_a_3P
solaxavanu solu(V5)+axa_u_PRP+avanu_a_3SM
solaxavalYu solu(V5)+axa_u_PRP+avalYu_a_3FM
solaxava solu(V5)+axa_u_PRP+ava_a_3P
sowavanu solu(V5)+wa_lu_PRP+avanu_a_3SM 
sowavalYu solu(V5)+wa_lu_PRP+avalYu_a_3FM 
sowavaru solu(V5)+wa_lu_PRP+avaru_a_3P
sowavaru solu(V5)+wa_lu_PRP+avaru_a_3SH 
solalAraxavanu solu(V5)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
solalAraxavalYu solu(V5)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
solalAraxava solu(V5)+alu_u_AVY+Araxa_u_PRP+ava_a_3P 
soluwwiruvavanu solu(V5)+wa_#_AUX+wwiru_wa_RP+va_#_PRP+avanu_a_3SM 
soluwwiruvavalYu solu(V5)+wa_#_AUX+wwiru_wa_RP+va_#_PRP+avalYu_a_3FM
soluwwiruvavaru solu(V5)+wa_#_AUX+wwiru_wa_RP+va_#_PRP+avaru_a_3P
soluwwiruvuxu solu(V5)+wa_#_AUX+wwiru_wa_RP+va_#_PRP+uxu_a_3SN
soluwwiruvuvu solu(V5)+wa_#_AUX+wwiru_wa_RP+va_#_PRP+uvu_a_3PN
soluwwiruva solu(V5)+wa_#_AUX+wwiru_wa_RP+va_#_FUTPROG
soluwwixxavanu solu(V5)+wa_#_AUX+wwi_wa_RP+xxa_#_PRP+avanu_a_3SM 
soluwwixxavalYu solu(V5)+wa_#_AUX+wwi_wa_RP+xxa_#_PRP+avalYu_a_3FM 
soluwwixxavaru solu(V5)+wa_#_AUX+wwi_wa_RP+xxa_#_PRP+avaru_a_3P 
soluwwixxu solu(V5)+wa_#_AUX+wwixxu_wa_PRESPROG
soluwwixxavu solu(V5)+wa_#_AUX+wwi_wa_RP+xxa_#_PRP+avu_a_3PN
solaliruvavanu solu(V5)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
solaliruvavalYu solu(V5)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
solaliruvavaru solu(V5)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
solaliruvanu solu(V5)+alu_u_AUX+liruvanu_lu_3SM
solaliruvalYu solu(V5)+alu_u_AUX+liruvalYu_lu_3SF
solaliruvaru solu(V5)+alu_u_AUX+liruvaru_lu_3P
solaliruvaxu solu(V5)+alu_u_AUX+liruvaxu_lu_3SN
solaliruvavu solu(V5)+alu_u_AUX+liruvavu_lu_3PN
solaballavanu solu(V5)+a_u_AVY+ballavanu_#_3SM
solaballavalYu solu(V5)+a_u_#_AVY+ballavalYu_#_3SF
solaballavaru solu(V5)+a_u_AVY+ballavaru_#_3P
solaballaxu solu(V5)+a_u_AVY+ballaxu_#_3SN
solaballavu solu(V5)+a_u_AVY+ballavu_#_3PN
soluwwixxAneV solu(V5)+wa_#_AUX+wwixxAneV_wa_3SM
soluwwixxAlYeV solu(V5)+wa_#_AUX+wwixxAlYeV_wa_3FM
soluwwixxAreV solu(V5)+wa_#_AUX+wwixxAreV_wa_3FM
soluwwixeV solu(V5)+wa_#_AUX+wwixeV_wa_3SN
soluwwiveV solu(V5)+wa_#_AUX+wwiveV_wa_3PN

solalpattanu solu(V5)+alpadu_u_PAST+pattanu_padu_3SM
solalpattalYu solu(V5)+alpadu_u_PAST+pattalYu_padu_3SF
solalpattaru solu(V5)+alpadu_u_PAST+pattaru_padu_3P
solalpattaru solu(V5)+alpadu_u_PAST+pattaru_padu_3SH
solalpattiwu solu(V5)+alpadu_u_PAST+pattiwu_padu_3SN
solalpattavu solu(V5)+alpadu_u_PAST+pattavu_padu_3PN
solalpaduwwaxeV solu(V5)+alpadu_u_FUT+duwwaxeV_du_3SN
solalpaduwwaveV solu(V5)+alpadu_u_FUT+duwwaveV_du_3PN
solalpaduvuxu solu(V5)+alpadu_u_FUT+vuxu_#_3SN
solalpaduvuvu solu(V5)+alpadu_u_FUT+vuvu_#_3PN
solalpadanu solu(V5)+alpadu_u_FUTNEG+danu_du_3SM
solalpadalYu solu(V5)+alpadu_u_FUTNEG+dalYu_du_3SF
solalpada solu(V5)+alpadu_u_FUTNEG+da_du_3P
solalpada solu(V5)+alpadu_u_FUTNEG+da_du_3SH
solalpadaxu solu(V5)+alpadu_u_FUTNEG+daxu_du_3SN
solalpadavu solu(V5)+alpadu_u_FUTNEG+davu_du_3PN
solalpattAnu solu(V5)+alpadu_u_FUTDUB+ttAnu_du_3SM
solalpattAlYu solu(V5)+alpadu_u_FUTDUB+ttAlYu_du_3PF
solalpattA solu(V5)+alpadu_u_FUTDUB+ttA_du_3P
solalpattA solu(V5)+alpadu_u_FUTDUB+ttA_du_3SH
solalpattIwu solu(V5)+alpadu_u_FUTDUB+ttIwu_du_3SN
solalpattAvu solu(V5)+alpadu_u_FUTDUB+ttAvu_du_3PN
solalpadabeku solu(V5)+alpada_u_#_AVY+beku_#_FUTIMP
solalpadabAraxu solu(V5)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
solalpadakUdaxu solu(V5)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
solalpadali solu(V5)+alpadu_u_FUTOPT+dali_du_3SN
solalpadali solu(V5)+alpadu_u_FUTOPT+dali_du_3PN
solalpadaballa solu(V5)+alpada_u_#_AVY+balla_#_FUTCAP
solalpadaballaxu solu(V5)+alpada_u_#_AVY+ballaxu_#_FUTCAP
solalpadaballavu solu(V5)+alpada_u_#_AVY+ballavu_#_FUTCAP
solalpadabahuxu solu(V5)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3SN
solalpadabahuxu solu(V5)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3PN
solalpadabeku solu(V5)+alpada_u_#_AVY+beku_#_FUTCOMP
solalpadalebeku solu(V5)+alpada_u_#_AVY+lebeku_#_FUTCOMP
solalpadalAraxu solu(V5)+alpadu_u_FUTNEG+alAraxu_u_3SN
solalpadalAravu solu(V5)+alpadu_u_FUTNEG+alAravu_u_3PN
solalpadalAraxa solu(V5)+alpadu_u_NEG+alAraxa_u_3SN
solalpattarU solu(V5)+alpadu_u_FUTCOND+ttarU_du_NFV
solalpaduwwa solu(V5)+alpadu_u_PRESCONT+uwwa_u_NFV
solalpatta solu(V5)+alpadu_u_RP+tta_du_PAST
solalpadaxeV solu(V5)+alpadu_u_NEG+axeV_u_NFV	

solalpadaxa solu(V5)+alpadu_u_NEG+axa_u_NFV
solalpattu solu(V5)+alpadu_u_PAST+pattu_padu_NFV
solalpaduva solu(V5)+alpadu_u_FUT+va_#_RP
solalpadalu solu(V5)+alpadu_u_INFN+alu_u_FUTINCH
solalpadalikkeV solu(V5)+alpadu_u_INFN+alikkeV_u_FUTINCH
solalpattareV solu(V5)+alpadu_u_FUTCOND+pattareV_padu_NFV
solalpattalli solu(V5)+alpadu_u_FUTCOND+pattalli_padu_NFV
solalpaduwwiva solu(V5)+alpadu_u_AUX+uwwiva_u_RP
solalpaduwwixxa solu(V5)+alpadu_u_AUX+uwwixxa_u_RP
solalpaduwwaliva solu(V5)+alpadu_u_AUX+uwwaliva_u_RP
solalpaduwwirabekAxa solu(V5)+alpadu_u_AUX+uwwiru_u_AVY+abekAxa_u_3SN
sowanA solu(V5)+wanA_lu_INTR
sowalYA solu(V5)+walYA_lu_INTR
sowiwA solu(V5)+wiwA_lu_INTR
sowarA solu(V5)+warA_lu_INTR
sowavA solu(V5)+wavA_lu_INTR
soluwwAnA solu(V5)+uwwAnA_u_INTR
soluwwAlYA solu(V5)+uwwAlYA_u_INTR
soluwwaxA solu(V5)+uwwaxA_u_INTR
soluvanA solu(V5)+vanA_#_INTR
soluvalYA solu(V5)+valYA_#_INTR
soluvuxA solu(V5)+vuxA_#_INTR
soluvarA solu(V5)+varA_#_INTR
