soVseVyu soVseV(N15)+yu_#_NOM
soVseVyaMxiru soVseV(N15)+yaMxiru_#_PL
soVseVyannu soVseV(N15)+yannu_#_ACC
soVseVyaMxirannu soVseV(N15)+yaMxiru_#_PL+rannu_ru_ACC 
soVseVyiMxa soVseV(N15)+yiMxa_#_INS
soVseVyaMxiriMxa soVseV(N15)+yaMxiru_#_PL+riMxa_ru_INS
soVseVgeV soVseV(N15)+geV_#_DAT
soVseVyaMxirigeV soVseV(N15)+yaMxiru_#_PL+rigeV_ru_DAT
soVseVyiMxa soVseV(N15)+yiMxa_#_ABL
soVseVyaMxiriMxa soVseV(N15)+yaMxiru_#_PL+riMxa_ru_ABL
soVseVya soVseV(N15)+ya_#_GEN
soVseVyaMxira soVseV(N15)+yaMxiru_#_PL+ra_ru_GEN
soVseVyalli soVseV(N15)+yalli_#_LOC
soVseVyaMxiralli soVseV(N15)+yaMxiru_#_PL+ralli_ru_LOC
soVseVye soVseV(N15)+ye_#_VOC
soVseVyaMxire soVseV(N15)+yaMxiru_#_PL+re_ru_VOC
soVseVgoskara soVseV(N15)+goskara_#_BEN
soVseVyaMxirigoskara soVseV(N15)+yaMxiru_#_PL+rigoskara_ru_BEN
soVseVgoskara soVseV(N15)+goskara_#_PUR
soVseVyaMxirigoskara soVseV(N15)+yaMxiru_#_PL+rigoskara_ru_PUR
soVseVgAgi soVseV(N15)+gAgi_#_BEN
soVseVyaMxirigAgi soVseV(N15)+yaMxiru_#_PL+rigAgi_ru_BEN
soVseVgAgi soVseV(N15)+gAgi_#_PUR
soVseVyaMxirigAgi soVseV(N15)+yaMxiru_#_PL+rigAgi_ru_PUR
soVseVgosuga soVseV(N15)+gosuga_#_BEN
soVseVyaMxirigosuga soVseV(N15)+yaMxiru_#_PL+rigosuga_ru_BEN
soVseVgosuga soVseV(N15)+gosuga_#_PUR
soVseVyaMxirigosuga soVseV(N15)+yaMxiru_#_PL+rigosuga_ru_PUR
soVseVgiMwa soVseV(N15)+giMwa_#_COMP
soVseVyaMxirigiMwa soVseV(N15)+yaMxiru_#_PL+rigiMwa_ru_COMP
soVseVyaMweV soVseV(N15)+yaMweV_#_SIM
soVseVyaMxiraMweV soVseV(N15)+yaMxiru_#_PL+raMweV_ru_SIM
soVseVyaMwa soVseV(N15)+yaMwa_#_SIM
soVseVyaMxiraMwa soVseV(N15)+yaMxiru_#_PL+raMwa_ru_SIM
soVseVyaMwaha soVseV(N15)+yaMwaha_#_SIM
soVseVyaMxiraMwaha soVseV(N15)+yaMxiru_#_PL+raMwaha_ru_SIM
soVseVyoVdaneV soVseV(N15)+yoVdaneV_#_SOC
soVseVyaMxiroVdaneV soVseV(N15)+yaMxiru_#_PL+roVdaneV_ru_SOC
soVseVyoVMxigeV soVseV(N15)+yoVMxigeV_#_SOC
soVseVyaMxiroVMxigeV soVseV(N15)+yaMxiru_#_PL+roVMxigeV_ru_SOC
soVseVyA soVseV(N15)+yu_#_NOM+yA_yu_INTR
soVseVyU soVseV(N15)+yu_#_NOM+yU_yu_INCL
soVseVyo soVseV(N15)+yu_#_NOM+yo_yu_DUB
soVseVyo soVseV(N15)+yu_#_NOM+yo_yu_INDF
soVseVyo soVseV(N15)+yu_#_NOM+yo_yu_PRES
soVseVye soVseV(N15)+yu_#_NOM+ye_yu_IMPH
soVseVye soVseV(N15)+yu_#_NOM+ye_yu_DECL
soVseVye soVseV(N15)+yu_#_NOM+ye_yu_RIS
soVseVyannA soVseV(N15)+yannu_#_ACC+nnA_nnu_INTR
soVseVyannU soVseV(N15)+yannu_#_ACC+nnU_nnu_INCL
soVseVyanno soVseV(N15)+yannu_#_ACC+nno_nnu_DUB
soVseVyanno soVseV(N15)+yannu_#_ACC+nno_nnu_INDF
soVseVyanno soVseV(N15)+yannu_#_ACC+nno_nnu_PRES
soVseVyanne soVseV(N15)+yannu_#_ACC+nne_nnu_IMPH
soVseVyanne soVseV(N15)+yannu_#_ACC+nne_nnu_DECL
soVseVyanne soVseV(N15)+yannu_#_ACC+nne_nnu_RIS
soVseVyiMxalA soVseV(N15)+yiMxa_#_INS+lA_#_INTR
soVseVyiMxalU soVseV(N15)+yiMxa_#_INS+lU_#_INCL
soVseVyiMxalo soVseV(N15)+yiMxa_#_INS+lo_#_DUB
soVseVyiMxalo soVseV(N15)+yiMxa_#_INS+lo_#_INDF
soVseVyiMxalo soVseV(N15)+yiMxa_#_INS+lo_#_PRES
soVseVyiMxale soVseV(N15)+yiMxa_#_INS+le_#_IMPH
soVseVyiMxale soVseV(N15)+yiMxa_#_INS+le_#_DECL
soVseVyiMxale soVseV(N15)+yiMxa_#_INS+le_#_RIS
soVseVgA soVseV(N15)+geV_#_DAT+gA_geV_INTR
soVseVgU soVseV(N15)+geV_#_DAT+gU_geV_INCL
soVseVgo soVseV(N15)+geV_#_DAT+go_geV_DUB
soVseVgo soVseV(N15)+geV_#_DAT+go_geV_INDF
soVseVgo soVseV(N15)+geV_#_DAT+go_geV_PRES
soVseVge soVseV(N15)+geV_#_DAT+ge_geV_IMPH
soVseVge soVseV(N15)+geV_#_DAT+ge_geV_DECL
soVseVge soVseV(N15)+geV_#_DAT+ge_geV_RIS
soVseVyiMxalA soVseV(N15)+yiMxa_#_ABL+lA_#_INTR
soVseVyiMxalU soVseV(N15)+yiMxa_#_ABL+lU_#_INCL
soVseVyiMxalo soVseV(N15)+yiMxa_#_ABL+lo_#_DUB
soVseVyiMxalo soVseV(N15)+yiMxa_#_ABL+lo_#_INDF
soVseVyiMxalo soVseV(N15)+yiMxa_#_ABL+lo_#_PRES
soVseVyiMxale soVseV(N15)+yiMxa_#_ABL+le_#_IMPH
